No,Nomor Transaksi,Nama Pengguna,Nomor Telepon,Email,Level Pengguna,Quantity,Total Pembelian,Status,Metode Pembayaran,Waktu Transaksi
1,VGN0000000922,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7573,success,Saldo,09-01-2024 19:37:05
2,VGN0000000920,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7573,success,Saldo,09-01-2024 19:32:51
3,VGN0000000919,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,10020,waiting,BRI - D,09-01-2024 19:29:41
4,VGN0000000918,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,8510,waiting,BCA-M,09-01-2024 19:29:10
5,VGN0000000917,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,2,14980,waiting,BRI - D,09-01-2024 19:27:50
6,VGN0000000916,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,2,15086,waiting,BRI - D,09-01-2024 19:26:39
7,VGN0000000915,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7468,success,BCA-M,09-01-2024 19:24:59
8,VGN0000000881,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,8503,cancel,Saldo,08-01-2024 21:45:08
9,VGN0000000880,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,19860,cancel,BCA-M,08-01-2024 21:44:05
10,VGN0000000878,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,19860,cancel,BRI - D,08-01-2024 21:41:55
11,VGN0000000877,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,19860,cancel,BCA-M,08-01-2024 21:40:11
12,VGN0000000876,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,9930,cancel,BCA-M,08-01-2024 21:39:46
13,VGN0000000875,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,2,19860,cancel,BRI - D,08-01-2024 18:53:02
14,VGN0000000874,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,9931,cancel,BCA-M,08-01-2024 18:50:25
15,VGN0000000873,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,19960,cancel,BRI - D,08-01-2024 18:19:38
16,VGN0000000869,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,19960,cancel,BRI - D,08-01-2024 18:10:43
